id,value
A_views,
A_views.Counting with Small Numbers,1
A_views.Adding/Subtracting Negative Numbers,3
A_views.Logarithms,5
A_views.Real Numbers,4
B_views,
B_views.Counting in Order,2
B_views.Number Grid,2
B_views.Relating Addition and Subtraction,3
C_views,
C_views.Counting in Pictures,1
C_views.Adding/Subtracting Negative Numbers,0
C_views.Helper Functions,1
D_views,
D_views.Addition and Subtraction Within 10,2
D_views.Addition with Fruit,3
F_views,
F_views.Counting With Small Numbers,0
F_views.Adding/Subtracting Negative Numbers,0
